[2020-07-02 15:00:30] - Starting holdout training: {
	data_features: [],
	data_labels: [],
	data_single_features: ['global_map'],
	data_single_labels: ['global_map'],
	epochs: 100,
	loss: L1Loss(),
	optimizer: <function CAE.get_config.<locals>.<lambda> at 0x7fbdb4c1f5f0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: caelstm_section_cae,
	training_data: ['training_house_1000'],
	batch_size: 50,
	use_mnist_instead: False,
	mnist_size: None,
	with_skip_connections: True,
	in_dim: [64, 64],
	latent_dim: 100,
}

[2020-07-02 15:00:30] - Starting data pre processing
[2020-07-02 15:00:30] - Cache miss, starting new training data pre processing
[2020-07-02 15:00:30] - Loading data: training_house_1000
[2020-07-02 15:00:30] - Picking features
[2020-07-02 15:00:30] - Cache hit, training data loaded from cache
[2020-07-02 15:00:30] - Finished data pre processing 

[2020-07-02 15:00:30] - Training: <class 'algorithms.lstm.LSTM_CAE_tile_by_tile.CAE'>
[2020-07-02 15:00:35] - Training 	 Epoch: 0 	 Loss: 2.367907
[2020-07-02 15:00:36] - Validation 	 Epoch: 0 	 Loss: 5.842291

[2020-07-02 15:00:39] - Training 	 Epoch: 1 	 Loss: 1.919554
[2020-07-02 15:00:40] - Validation 	 Epoch: 1 	 Loss: 5.221851

[2020-07-02 15:00:43] - Training 	 Epoch: 2 	 Loss: 1.585329
[2020-07-02 15:00:45] - Validation 	 Epoch: 2 	 Loss: 4.460376

[2020-07-02 15:00:48] - Training 	 Epoch: 3 	 Loss: 1.340074
[2020-07-02 15:00:49] - Validation 	 Epoch: 3 	 Loss: 3.703259

[2020-07-02 15:00:52] - Training 	 Epoch: 4 	 Loss: 1.154081
[2020-07-02 15:00:54] - Validation 	 Epoch: 4 	 Loss: 3.219618

[2020-07-02 15:00:57] - Training 	 Epoch: 5 	 Loss: 0.972943
[2020-07-02 15:00:58] - Validation 	 Epoch: 5 	 Loss: 2.552686

[2020-07-02 15:01:01] - Training 	 Epoch: 6 	 Loss: 0.803296
[2020-07-02 15:01:03] - Validation 	 Epoch: 6 	 Loss: 2.192824

[2020-07-02 15:01:06] - Training 	 Epoch: 7 	 Loss: 0.687940
[2020-07-02 15:01:07] - Validation 	 Epoch: 7 	 Loss: 1.967198

[2020-07-02 15:01:10] - Training 	 Epoch: 8 	 Loss: 0.604459
[2020-07-02 15:01:12] - Validation 	 Epoch: 8 	 Loss: 1.682944

[2020-07-02 15:01:15] - Training 	 Epoch: 9 	 Loss: 0.529945
[2020-07-02 15:01:16] - Validation 	 Epoch: 9 	 Loss: 1.377012

[2020-07-02 15:01:19] - Training 	 Epoch: 10 	 Loss: 0.463074
[2020-07-02 15:01:20] - Validation 	 Epoch: 10 	 Loss: 1.303971

[2020-07-02 15:01:23] - Training 	 Epoch: 11 	 Loss: 0.411266
[2020-07-02 15:01:25] - Validation 	 Epoch: 11 	 Loss: 1.176267

[2020-07-02 15:01:28] - Training 	 Epoch: 12 	 Loss: 0.373000
[2020-07-02 15:01:29] - Validation 	 Epoch: 12 	 Loss: 1.069695

[2020-07-02 15:01:32] - Training 	 Epoch: 13 	 Loss: 0.342703
[2020-07-02 15:01:34] - Validation 	 Epoch: 13 	 Loss: 0.994140

[2020-07-02 15:01:37] - Training 	 Epoch: 14 	 Loss: 0.305796
[2020-07-02 15:01:38] - Validation 	 Epoch: 14 	 Loss: 0.872288

[2020-07-02 15:01:41] - Training 	 Epoch: 15 	 Loss: 0.259232
[2020-07-02 15:01:42] - Validation 	 Epoch: 15 	 Loss: 0.704415

[2020-07-02 15:01:45] - Training 	 Epoch: 16 	 Loss: 0.230543
[2020-07-02 15:01:47] - Validation 	 Epoch: 16 	 Loss: 0.638681

