[2020-07-02 14:44:08] - Starting holdout training: {
	data_features: ['distance_to_goal_normalized', 'raycast_8_normalized', 'direction_to_goal_normalized', 'agent_goal_angle'],
	data_labels: ['next_position_index'],
	data_single_features: [],
	data_single_labels: [],
	epochs: 100,
	loss: CrossEntropyLoss(),
	optimizer: <function BasicLSTMModule.get_config.<locals>.<lambda> at 0x7f94131668c0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: tile_by_tile,
	training_data: ['training_house_1000'],
	batch_size: 50,
	num_layers: 2,
	lstm_input_size: 12,
	lstm_output_size: 8,
}

[2020-07-02 14:44:08] - Starting data pre processing
[2020-07-02 14:44:08] - Cache miss, starting new training data pre processing
[2020-07-02 14:44:08] - Loading data: training_house_1000
[2020-07-02 14:44:38] - Picking features
[2020-07-02 14:44:42] - Cache hit, training data loaded from cache
[2020-07-02 14:44:42] - Finished data pre processing 

[2020-07-02 14:44:42] - Training: <class 'algorithms.lstm.LSTM_tile_by_tile.BasicLSTMModule'>
[2020-07-02 14:44:45] - Training 	 Epoch: 0 	 Loss: 7.041753 	 Accuracy 0.51 	 Precision: 0.22 	 Recall: 0.30 	 F1: 0.23
[2020-07-02 14:44:46] - Validation 	 Epoch: 0 	 Loss: 22.254780 	 Accuracy 0.61 	 Precision: 0.15 	 Recall: 0.18 	 F1: 0.13

[2020-07-02 14:44:48] - Training 	 Epoch: 1 	 Loss: 5.612346 	 Accuracy 0.52 	 Precision: 0.30 	 Recall: 0.37 	 F1: 0.29
[2020-07-02 14:44:49] - Validation 	 Epoch: 1 	 Loss: 17.211851 	 Accuracy 0.64 	 Precision: 0.12 	 Recall: 0.13 	 F1: 0.10

[2020-07-02 14:44:51] - Training 	 Epoch: 2 	 Loss: 4.412326 	 Accuracy 0.64 	 Precision: 0.27 	 Recall: 0.15 	 F1: 0.14
[2020-07-02 14:44:53] - Validation 	 Epoch: 2 	 Loss: 13.844969 	 Accuracy 0.64 	 Precision: 0.08 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 14:44:55] - Training 	 Epoch: 3 	 Loss: 3.955273 	 Accuracy 0.65 	 Precision: 0.27 	 Recall: 0.13 	 F1: 0.11
[2020-07-02 14:44:56] - Validation 	 Epoch: 3 	 Loss: 12.781074 	 Accuracy 0.64 	 Precision: 0.08 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 14:44:58] - Training 	 Epoch: 4 	 Loss: 3.848218 	 Accuracy 0.64 	 Precision: 0.32 	 Recall: 0.20 	 F1: 0.20
[2020-07-02 14:45:00] - Validation 	 Epoch: 4 	 Loss: 12.189034 	 Accuracy 0.64 	 Precision: 0.16 	 Recall: 0.13 	 F1: 0.10

[2020-07-02 14:45:02] - Training 	 Epoch: 5 	 Loss: 3.779315 	 Accuracy 0.63 	 Precision: 0.33 	 Recall: 0.22 	 F1: 0.23
[2020-07-02 14:45:03] - Validation 	 Epoch: 5 	 Loss: 12.096722 	 Accuracy 0.64 	 Precision: 0.24 	 Recall: 0.13 	 F1: 0.11

[2020-07-02 14:45:05] - Training 	 Epoch: 6 	 Loss: 3.742435 	 Accuracy 0.63 	 Precision: 0.33 	 Recall: 0.25 	 F1: 0.27
[2020-07-02 14:45:06] - Validation 	 Epoch: 6 	 Loss: 12.174169 	 Accuracy 0.64 	 Precision: 0.25 	 Recall: 0.14 	 F1: 0.13

[2020-07-02 14:45:08] - Training 	 Epoch: 7 	 Loss: 3.710941 	 Accuracy 0.63 	 Precision: 0.41 	 Recall: 0.25 	 F1: 0.26
[2020-07-02 14:45:10] - Validation 	 Epoch: 7 	 Loss: 12.055187 	 Accuracy 0.64 	 Precision: 0.18 	 Recall: 0.13 	 F1: 0.12

[2020-07-02 14:45:12] - Training 	 Epoch: 8 	 Loss: 3.693504 	 Accuracy 0.64 	 Precision: 0.47 	 Recall: 0.21 	 F1: 0.23
[2020-07-02 14:45:13] - Validation 	 Epoch: 8 	 Loss: 11.876669 	 Accuracy 0.64 	 Precision: 0.31 	 Recall: 0.14 	 F1: 0.13

[2020-07-02 14:45:15] - Training 	 Epoch: 9 	 Loss: 3.707692 	 Accuracy 0.63 	 Precision: 0.31 	 Recall: 0.24 	 F1: 0.25
[2020-07-02 14:45:16] - Validation 	 Epoch: 9 	 Loss: 11.877743 	 Accuracy 0.64 	 Precision: 0.23 	 Recall: 0.16 	 F1: 0.16

[2020-07-02 14:45:18] - Training 	 Epoch: 10 	 Loss: 3.707299 	 Accuracy 0.62 	 Precision: 0.38 	 Recall: 0.28 	 F1: 0.29
[2020-07-02 14:45:20] - Validation 	 Epoch: 10 	 Loss: 11.829792 	 Accuracy 0.64 	 Precision: 0.24 	 Recall: 0.18 	 F1: 0.19

[2020-07-02 14:45:22] - Training 	 Epoch: 11 	 Loss: 3.676701 	 Accuracy 0.63 	 Precision: 0.38 	 Recall: 0.29 	 F1: 0.30
[2020-07-02 14:45:23] - Validation 	 Epoch: 11 	 Loss: 11.730061 	 Accuracy 0.64 	 Precision: 0.35 	 Recall: 0.20 	 F1: 0.21

[2020-07-02 14:45:25] - Training 	 Epoch: 12 	 Loss: 3.599925 	 Accuracy 0.64 	 Precision: 0.45 	 Recall: 0.29 	 F1: 0.31
[2020-07-02 14:45:26] - Validation 	 Epoch: 12 	 Loss: 11.627508 	 Accuracy 0.64 	 Precision: 0.41 	 Recall: 0.20 	 F1: 0.22

[2020-07-02 14:45:28] - Training 	 Epoch: 13 	 Loss: 3.508034 	 Accuracy 0.65 	 Precision: 0.50 	 Recall: 0.31 	 F1: 0.33
[2020-07-02 14:45:30] - Validation 	 Epoch: 13 	 Loss: 11.515076 	 Accuracy 0.64 	 Precision: 0.37 	 Recall: 0.23 	 F1: 0.25

[2020-07-02 14:45:32] - Training 	 Epoch: 14 	 Loss: 3.496910 	 Accuracy 0.65 	 Precision: 0.49 	 Recall: 0.31 	 F1: 0.34
[2020-07-02 14:45:33] - Validation 	 Epoch: 14 	 Loss: 11.326241 	 Accuracy 0.65 	 Precision: 0.45 	 Recall: 0.27 	 F1: 0.31

[2020-07-02 14:45:35] - Training 	 Epoch: 15 	 Loss: 3.388558 	 Accuracy 0.66 	 Precision: 0.51 	 Recall: 0.29 	 F1: 0.33
