[2020-07-02 13:27:09] - Starting holdout training: {
	data_features: ['distance_to_goal_normalized', 'raycast_8_normalized', 'direction_to_goal_normalized', 'agent_goal_angle'],
	data_labels: ['next_position_index'],
	data_single_features: [],
	data_single_labels: [],
	epochs: 100,
	loss: CrossEntropyLoss(),
	optimizer: <function BasicLSTMModule.get_config.<locals>.<lambda> at 0x7f4e3f7e9cb0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: tile_by_tile,
	training_data: ['training_house_100'],
	batch_size: 50,
	num_layers: 2,
	lstm_input_size: 12,
	lstm_output_size: 8,
}

[2020-07-02 13:27:09] - Starting data pre processing
[2020-07-02 13:27:09] - Cache miss, starting new training data pre processing
[2020-07-02 13:27:09] - Loading data: training_house_100
[2020-07-02 13:27:12] - Picking features
[2020-07-02 13:27:12] - Cache hit, training data loaded from cache
[2020-07-02 13:27:12] - Finished data pre processing 

[2020-07-02 13:27:12] - Training: <class 'algorithms.lstm.LSTM_tile_by_tile.BasicLSTMModule'>
[2020-07-02 13:27:14] - Training 	 Epoch: 0 	 Loss: 51.821762 	 Accuracy 0.22 	 Precision: 0.14 	 Recall: 0.08 	 F1: 0.10
[2020-07-02 13:27:16] - Validation 	 Epoch: 0 	 Loss: 102.197731 	 Accuracy 0.04 	 Precision: 0.01 	 Recall: 0.12 	 F1: 0.01

[2020-07-02 13:27:17] - Training 	 Epoch: 1 	 Loss: 48.047318 	 Accuracy 0.33 	 Precision: 0.18 	 Recall: 0.16 	 F1: 0.15
[2020-07-02 13:27:18] - Validation 	 Epoch: 1 	 Loss: 99.023956 	 Accuracy 0.42 	 Precision: 0.09 	 Recall: 0.08 	 F1: 0.08

[2020-07-02 13:27:20] - Training 	 Epoch: 2 	 Loss: 45.736851 	 Accuracy 0.42 	 Precision: 0.26 	 Recall: 0.22 	 F1: 0.21
[2020-07-02 13:27:21] - Validation 	 Epoch: 2 	 Loss: 96.013016 	 Accuracy 0.59 	 Precision: 0.09 	 Recall: 0.11 	 F1: 0.10

[2020-07-02 13:27:22] - Training 	 Epoch: 3 	 Loss: 43.937569 	 Accuracy 0.45 	 Precision: 0.25 	 Recall: 0.25 	 F1: 0.24
[2020-07-02 13:27:24] - Validation 	 Epoch: 3 	 Loss: 93.160606 	 Accuracy 0.62 	 Precision: 0.09 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 13:27:25] - Training 	 Epoch: 4 	 Loss: 42.336525 	 Accuracy 0.49 	 Precision: 0.29 	 Recall: 0.35 	 F1: 0.30
[2020-07-02 13:27:27] - Validation 	 Epoch: 4 	 Loss: 90.477837 	 Accuracy 0.62 	 Precision: 0.09 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 13:27:28] - Training 	 Epoch: 5 	 Loss: 40.866817 	 Accuracy 0.50 	 Precision: 0.29 	 Recall: 0.36 	 F1: 0.31
[2020-07-02 13:27:29] - Validation 	 Epoch: 5 	 Loss: 87.907402 	 Accuracy 0.62 	 Precision: 0.09 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 13:27:31] - Training 	 Epoch: 6 	 Loss: 39.492950 	 Accuracy 0.51 	 Precision: 0.35 	 Recall: 0.43 	 F1: 0.36
[2020-07-02 13:27:32] - Validation 	 Epoch: 6 	 Loss: 85.286850 	 Accuracy 0.62 	 Precision: 0.09 	 Recall: 0.12 	 F1: 0.10

[2020-07-02 13:27:33] - Training 	 Epoch: 7 	 Loss: 38.179512 	 Accuracy 0.51 	 Precision: 0.35 	 Recall: 0.43 	 F1: 0.36
[2020-07-02 13:27:35] - Validation 	 Epoch: 7 	 Loss: 82.463127 	 Accuracy 0.63 	 Precision: 0.11 	 Recall: 0.14 	 F1: 0.12

[2020-07-02 13:27:36] - Training 	 Epoch: 8 	 Loss: 36.872189 	 Accuracy 0.51 	 Precision: 0.35 	 Recall: 0.44 	 F1: 0.37
[2020-07-02 13:27:38] - Validation 	 Epoch: 8 	 Loss: 79.364899 	 Accuracy 0.63 	 Precision: 0.11 	 Recall: 0.17 	 F1: 0.13

[2020-07-02 13:27:39] - Training 	 Epoch: 9 	 Loss: 35.533257 	 Accuracy 0.51 	 Precision: 0.36 	 Recall: 0.44 	 F1: 0.37
[2020-07-02 13:27:40] - Validation 	 Epoch: 9 	 Loss: 76.028305 	 Accuracy 0.64 	 Precision: 0.11 	 Recall: 0.18 	 F1: 0.13

[2020-07-02 13:27:42] - Training 	 Epoch: 10 	 Loss: 34.177650 	 Accuracy 0.52 	 Precision: 0.36 	 Recall: 0.44 	 F1: 0.38
[2020-07-02 13:27:43] - Validation 	 Epoch: 10 	 Loss: 72.616982 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.18 	 F1: 0.14

[2020-07-02 13:27:44] - Training 	 Epoch: 11 	 Loss: 32.832176 	 Accuracy 0.52 	 Precision: 0.36 	 Recall: 0.44 	 F1: 0.38
[2020-07-02 13:27:46] - Validation 	 Epoch: 11 	 Loss: 69.385971 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.17 	 F1: 0.14

[2020-07-02 13:27:47] - Training 	 Epoch: 12 	 Loss: 31.503920 	 Accuracy 0.54 	 Precision: 0.37 	 Recall: 0.42 	 F1: 0.38
[2020-07-02 13:27:48] - Validation 	 Epoch: 12 	 Loss: 66.584938 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.16 	 F1: 0.13

[2020-07-02 13:27:50] - Training 	 Epoch: 13 	 Loss: 30.218241 	 Accuracy 0.55 	 Precision: 0.36 	 Recall: 0.37 	 F1: 0.35
[2020-07-02 13:27:51] - Validation 	 Epoch: 13 	 Loss: 64.169106 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.16 	 F1: 0.13

[2020-07-02 13:27:52] - Training 	 Epoch: 14 	 Loss: 28.997179 	 Accuracy 0.57 	 Precision: 0.30 	 Recall: 0.34 	 F1: 0.32
[2020-07-02 13:27:54] - Validation 	 Epoch: 14 	 Loss: 61.978619 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.16 	 F1: 0.13

[2020-07-02 13:27:55] - Training 	 Epoch: 15 	 Loss: 27.878597 	 Accuracy 0.58 	 Precision: 0.31 	 Recall: 0.32 	 F1: 0.31
[2020-07-02 13:27:56] - Validation 	 Epoch: 15 	 Loss: 59.998768 	 Accuracy 0.65 	 Precision: 0.11 	 Recall: 0.15 	 F1: 0.13

[2020-07-02 13:27:58] - Training 	 Epoch: 16 	 Loss: 26.885017 	 Accuracy 0.60 	 Precision: 0.33 	 Recall: 0.27 	 F1: 0.28
[2020-07-02 13:27:59] - Validation 	 Epoch: 16 	 Loss: 58.203133 	 Accuracy 0.66 	 Precision: 0.11 	 Recall: 0.15 	 F1: 0.13

[2020-07-02 13:28:01] - Training 	 Epoch: 17 	 Loss: 26.036348 	 Accuracy 0.61 	 Precision: 0.36 	 Recall: 0.22 	 F1: 0.22
[2020-07-02 13:28:02] - Validation 	 Epoch: 17 	 Loss: 56.623795 	 Accuracy 0.66 	 Precision: 0.11 	 Recall: 0.15 	 F1: 0.13

[2020-07-02 13:28:03] - Training 	 Epoch: 18 	 Loss: 25.328255 	 Accuracy 0.61 	 Precision: 0.27 	 Recall: 0.20 	 F1: 0.18
[2020-07-02 13:28:05] - Validation 	 Epoch: 18 	 Loss: 55.332172 	 Accuracy 0.66 	 Precision: 0.11 	 Recall: 0.14 	 F1: 0.12

[2020-07-02 13:28:06] - Training 	 Epoch: 19 	 Loss: 24.728262 	 Accuracy 0.61 	 Precision: 0.27 	 Recall: 0.20 	 F1: 0.18
[2020-07-02 13:28:07] - Validation 	 Epoch: 19 	 Loss: 54.340828 	 Accuracy 0.66 	 Precision: 0.10 	 Recall: 0.13 	 F1: 0.11

[2020-07-02 13:28:09] - Training 	 Epoch: 20 	 Loss: 24.205246 	 Accuracy 0.61 	 Precision: 0.27 	 Recall: 0.20 	 F1: 0.18
[2020-07-02 13:28:10] - Validation 	 Epoch: 20 	 Loss: 53.607975 	 Accuracy 0.67 	 Precision: 0.11 	 Recall: 0.13 	 F1: 0.11

[2020-07-02 13:28:11] - Training 	 Epoch: 21 	 Loss: 23.742727 	 Accuracy 0.61 	 Precision: 0.27 	 Recall: 0.19 	 F1: 0.17
[2020-07-02 13:28:13] - Validation 	 Epoch: 21 	 Loss: 53.067009 	 Accuracy 0.66 	 Precision: 0.11 	 Recall: 0.14 	 F1: 0.12

[2020-07-02 13:28:14] - Training 	 Epoch: 22 	 Loss: 23.341181 	 Accuracy 0.61 	 Precision: 0.27 	 Recall: 0.19 	 F1: 0.17
