[2020-07-20 15:10:30] - Starting holdout training: {
	data_features: ['distance_to_goal_normalized', 'raycast_8_normalized', 'direction_to_goal_normalized', 'agent_goal_angle'],
	data_labels: ['next_position_index'],
	data_single_features: [],
	data_single_labels: [],
	epochs: 100,
	loss: CrossEntropyLoss(),
	optimizer: <function BasicLSTMModule.get_config.<locals>.<lambda> at 0x7f55e57f17a0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: tile_by_tile,
	training_data: ['training_uniform_random_fill_1000', 'training_house_1000', 'training_block_1000'],
	batch_size: 50,
	num_layers: 2,
	lstm_input_size: 12,
	lstm_output_size: 8,
}

[2020-07-20 15:10:30] - Starting data pre processing
[2020-07-20 15:10:30] - Cache miss, starting new training data pre processing
[2020-07-20 15:10:30] - Loading data: training_uniform_random_fill_1000
[2020-07-20 15:11:00] - Loading data: training_house_1000
[2020-07-20 15:11:34] - Loading data: training_block_1000
[2020-07-20 15:12:08] - Picking features
[2020-07-20 15:12:21] - Cache hit, training data loaded from cache
[2020-07-20 15:12:21] - Finished data pre processing 

[2020-07-20 15:12:21] - Training: <class 'algorithms.lstm.LSTM_tile_by_tile.BasicLSTMModule'>
[2020-07-20 15:12:25] - Training 	 Epoch: 0 	 Loss: 1.470069 	 Accuracy 0.60 	 Precision: 0.25 	 Recall: 0.20 	 F1: 0.19
[2020-07-20 15:12:27] - Validation 	 Epoch: 0 	 Loss: 4.293242 	 Accuracy 0.65 	 Precision: 0.08 	 Recall: 0.12 	 F1: 0.10

[2020-07-20 15:12:31] - Training 	 Epoch: 1 	 Loss: 1.291339 	 Accuracy 0.61 	 Precision: 0.23 	 Recall: 0.18 	 F1: 0.18
[2020-07-20 15:12:32] - Validation 	 Epoch: 1 	 Loss: 3.600883 	 Accuracy 0.65 	 Precision: 0.14 	 Recall: 0.13 	 F1: 0.11

[2020-07-20 15:12:36] - Training 	 Epoch: 2 	 Loss: 1.261749 	 Accuracy 0.61 	 Precision: 0.22 	 Recall: 0.19 	 F1: 0.19
[2020-07-20 15:12:38] - Validation 	 Epoch: 2 	 Loss: 3.435529 	 Accuracy 0.65 	 Precision: 0.32 	 Recall: 0.17 	 F1: 0.16

[2020-07-20 15:12:42] - Training 	 Epoch: 3 	 Loss: 1.216938 	 Accuracy 0.62 	 Precision: 0.38 	 Recall: 0.19 	 F1: 0.20
[2020-07-20 15:12:44] - Validation 	 Epoch: 3 	 Loss: 3.339762 	 Accuracy 0.65 	 Precision: 0.42 	 Recall: 0.23 	 F1: 0.24

[2020-07-20 15:12:47] - Training 	 Epoch: 4 	 Loss: 1.151442 	 Accuracy 0.66 	 Precision: 0.40 	 Recall: 0.30 	 F1: 0.31
[2020-07-20 15:12:49] - Validation 	 Epoch: 4 	 Loss: 3.125860 	 Accuracy 0.68 	 Precision: 0.31 	 Recall: 0.31 	 F1: 0.28

[2020-07-20 15:12:53] - Training 	 Epoch: 5 	 Loss: 0.989575 	 Accuracy 0.71 	 Precision: 0.59 	 Recall: 0.42 	 F1: 0.44
[2020-07-20 15:12:54] - Validation 	 Epoch: 5 	 Loss: 3.006934 	 Accuracy 0.72 	 Precision: 0.53 	 Recall: 0.38 	 F1: 0.38

[2020-07-20 15:12:57] - Training 	 Epoch: 6 	 Loss: 0.938830 	 Accuracy 0.73 	 Precision: 0.65 	 Recall: 0.44 	 F1: 0.45
[2020-07-20 15:12:59] - Validation 	 Epoch: 6 	 Loss: 2.531812 	 Accuracy 0.77 	 Precision: 0.63 	 Recall: 0.42 	 F1: 0.43

[2020-07-20 15:13:02] - Training 	 Epoch: 7 	 Loss: 0.727360 	 Accuracy 0.80 	 Precision: 0.63 	 Recall: 0.60 	 F1: 0.61
[2020-07-20 15:13:04] - Validation 	 Epoch: 7 	 Loss: 2.013065 	 Accuracy 0.82 	 Precision: 0.59 	 Recall: 0.55 	 F1: 0.57

[2020-07-20 15:13:07] - Training 	 Epoch: 8 	 Loss: 0.709866 	 Accuracy 0.80 	 Precision: 0.65 	 Recall: 0.62 	 F1: 0.63
[2020-07-20 15:13:09] - Validation 	 Epoch: 8 	 Loss: 2.017766 	 Accuracy 0.82 	 Precision: 0.64 	 Recall: 0.56 	 F1: 0.58

[2020-07-20 15:13:13] - Training 	 Epoch: 9 	 Loss: 0.668666 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63
[2020-07-20 15:13:15] - Validation 	 Epoch: 9 	 Loss: 1.942937 	 Accuracy 0.82 	 Precision: 0.73 	 Recall: 0.57 	 F1: 0.58

[2020-07-20 15:13:18] - Training 	 Epoch: 10 	 Loss: 0.645993 	 Accuracy 0.82 	 Precision: 0.73 	 Recall: 0.66 	 F1: 0.68
[2020-07-20 15:13:20] - Validation 	 Epoch: 10 	 Loss: 1.912953 	 Accuracy 0.82 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.64

[2020-07-20 15:13:23] - Training 	 Epoch: 11 	 Loss: 0.604817 	 Accuracy 0.82 	 Precision: 0.71 	 Recall: 0.67 	 F1: 0.69
[2020-07-20 15:13:25] - Validation 	 Epoch: 11 	 Loss: 1.871983 	 Accuracy 0.82 	 Precision: 0.65 	 Recall: 0.65 	 F1: 0.64

[2020-07-20 15:13:28] - Training 	 Epoch: 12 	 Loss: 0.599052 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.67 	 F1: 0.69
[2020-07-20 15:13:30] - Validation 	 Epoch: 12 	 Loss: 1.953457 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-20 15:13:33] - Training 	 Epoch: 13 	 Loss: 0.576810 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.68 	 F1: 0.71
[2020-07-20 15:13:35] - Validation 	 Epoch: 13 	 Loss: 1.882815 	 Accuracy 0.82 	 Precision: 0.68 	 Recall: 0.63 	 F1: 0.64

[2020-07-20 15:13:38] - Training 	 Epoch: 14 	 Loss: 0.567565 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.69 	 F1: 0.70
[2020-07-20 15:13:40] - Validation 	 Epoch: 14 	 Loss: 1.845800 	 Accuracy 0.82 	 Precision: 0.69 	 Recall: 0.64 	 F1: 0.66

[2020-07-20 15:13:44] - Training 	 Epoch: 15 	 Loss: 0.563718 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:13:46] - Validation 	 Epoch: 15 	 Loss: 1.733281 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.66 	 F1: 0.67

[2020-07-20 15:13:49] - Training 	 Epoch: 16 	 Loss: 0.557014 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:13:51] - Validation 	 Epoch: 16 	 Loss: 1.704341 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.66 	 F1: 0.67

